dataset,hardness_metric,random_seed,weighting_strategy,ks_mean,ks_std
NewThyroid2,N2,116740,self_paced,0.5782019704433498,0.039195014488861
NewThyroid2,N2,26226,curriculum,0.501847290640394,0.1790912399186971
NewThyroid2,N2,26226,static,0.4909688013136289,0.1374898870362412
NewThyroid2,N2,26226,self_paced,0.5630131362889984,0.1012162858400805
NewThyroid2,LSC,670488,curriculum,0.5808702791461412,0.17804501235241
NewThyroid2,LSC,670488,static,0.5689655172413793,0.1593896140244481
NewThyroid2,LSC,670488,self_paced,0.6344417077175698,0.1679585297540389
NewThyroid2,LSC,116740,curriculum,0.59688013136289,0.1314577859208537
NewThyroid2,LSC,116740,static,0.6432676518883417,0.0850516859017323
NewThyroid2,LSC,116740,self_paced,0.4780377668308702,0.1251791743814004
NewThyroid2,LSC,26226,curriculum,0.630336617405583,0.0907812205452973
NewThyroid2,LSC,26226,static,0.5704022988505747,0.1756634530776742
NewThyroid2,LSC,26226,self_paced,0.6009852216748768,0.1131106963171964
NewThyroid2,LSR,670488,curriculum,0.6151477832512315,0.1325894921482642
NewThyroid2,LSR,670488,static,0.5264778325123153,0.2070318166597444
NewThyroid2,LSR,670488,self_paced,0.574096880131363,0.090202996257984
NewThyroid2,LSR,116740,curriculum,0.4610016420361247,0.1718538095123492
NewThyroid2,LSR,116740,static,0.6018062397372742,0.1132506553726018
NewThyroid2,LSR,116740,self_paced,0.4607963875205255,0.1005774353708061
NewThyroid2,LSR,26226,curriculum,0.6338259441707718,0.0965516892306941
NewThyroid2,LSR,26226,static,0.5925697865353038,0.1236983329156848
NewThyroid2,LSR,26226,self_paced,0.4661330049261084,0.1276156642551053
NewThyroid2,Harmfulness,670488,curriculum,0.6169950738916256,0.1546747695624001
NewThyroid2,Harmfulness,670488,static,0.5714285714285715,0.2462068768394049
NewThyroid2,Harmfulness,670488,self_paced,0.4880952380952381,0.0876568961318184
NewThyroid2,Harmfulness,116740,curriculum,0.6215106732348112,0.0791111720879738
NewThyroid2,Harmfulness,116740,static,0.51252052545156,0.2074899817281452
NewThyroid2,Harmfulness,116740,self_paced,0.5338669950738916,0.0792231912595183
NewThyroid2,Harmfulness,26226,curriculum,0.6067323481116585,0.1090803683123969
NewThyroid2,Harmfulness,26226,static,0.5525451559934319,0.1850799440854997
NewThyroid2,Harmfulness,26226,self_paced,0.5420771756978654,0.0998206121376871
NewThyroid2,F1,670488,curriculum,0.486247947454844,0.1705867550155392
NewThyroid2,F1,670488,static,0.5775862068965517,0.0690461058586282
NewThyroid2,F1,670488,self_paced,0.5402298850574713,0.1290513997078105
NewThyroid2,F1,116740,curriculum,0.619663382594417,0.0618075162937537
NewThyroid2,F1,116740,static,0.5541871921182265,0.1018848351207845
NewThyroid2,F1,116740,self_paced,0.550287356321839,0.0705075402913678
NewThyroid2,F1,26226,curriculum,0.5264778325123153,0.0985805194604232
NewThyroid2,F1,26226,static,0.5874384236453202,0.1155493599023337
NewThyroid2,F1,26226,self_paced,0.5088259441707716,0.0672486593114654
NewThyroid2,F2,670488,curriculum,0.5410509031198687,0.0941901320498542
NewThyroid2,F2,670488,static,0.5572660098522167,0.0861563011272632
NewThyroid2,F2,670488,self_paced,0.5463875205254516,0.0976631958404788
NewThyroid2,F2,116740,curriculum,0.4965106732348112,0.0828590387753988
NewThyroid2,F2,116740,static,0.561576354679803,0.0825184420439365
NewThyroid2,F2,116740,self_paced,0.4768062397372742,0.1100395856428942
NewThyroid2,F2,26226,curriculum,0.5474137931034483,0.0910740445227823
NewThyroid2,F2,26226,static,0.5800492610837438,0.0851328827377058
NewThyroid2,F2,26226,self_paced,0.6003694581280788,0.1612826457388164
NewThyroid2,F3,670488,curriculum,0.5420771756978653,0.0785009305168285
NewThyroid2,F3,670488,static,0.6455254515599343,0.1044293746152521
NewThyroid2,F3,670488,self_paced,0.5798440065681445,0.1257593931327045
NewThyroid2,F3,116740,curriculum,0.5110837438423645,0.1004531620307572
NewThyroid2,F3,116740,static,0.5650656814449918,0.0645560529876203
NewThyroid2,F3,116740,self_paced,0.3715106732348111,0.1265313765517397
NewThyroid2,F3,26226,curriculum,0.4665435139573071,0.1182125245337442
NewThyroid2,F3,26226,static,0.5685550082101806,0.0702786186159475
NewThyroid2,F3,26226,self_paced,0.4585385878489327,0.1332530273339215
NewThyroid2,F4,670488,curriculum,0.5445402298850576,0.0760708236934586
NewThyroid2,F4,670488,static,0.5584975369458128,0.1135985006010976
NewThyroid2,F4,670488,self_paced,0.4626436781609196,0.1458509182951217
NewThyroid2,F4,116740,curriculum,0.5804597701149425,0.0693116266231327
NewThyroid2,F4,116740,static,0.5369458128078818,0.0956186482756598
NewThyroid2,F4,116740,self_paced,0.4704433497536945,0.1066367830347486
